teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
2,Matt Barkley,234.0,74.0,32,Newport Beach,CA,USA,Quarterback,matt-barkley,10,active,https://a.espncdn.com/i/headshots/nfl/players/full/15948.png
2,Ryan Bates,302.0,76.0,26,Warrington,PA,USA,Offensive Tackle,ryan-bates,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3929631.png
2,Ike Boettger,313.0,78.0,28,Cedar Falls,IA,USA,Guard,ike-boettger,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3040166.png
2,Spencer Brown,311.0,80.0,25,Lenox,IA,USA,Offensive Tackle,spencer-brown,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4030899.png
2,James Cook,190.0,71.0,23,Miami,FL,USA,Running Back,james-cook,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4379399.png
2,Isaiah Coulter,190.0,75.0,24,Brandywine,MD,USA,Wide Receiver,isaiah-coulter,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4248504.png
2,Zach Davidson,245.0,79.0,24,Webb City,MO,USA,Tight End,zach-davidson,1,active,https://a.espncdn.com/i/headshots/nfl/players/full/4746079.png
2,Gabe Davis,210.0,74.0,24,Sanford,FL,USA,Wide Receiver,gabe-davis,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4243537.png
2,Dion Dawkins,320.0,77.0,28,Rahway,NJ,USA,Offensive Tackle,dion-dawkins,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3051324.png
2,Stefon Diggs,191.0,72.0,29,Gaithersburg,MD,USA,Wide Receiver,stefon-diggs,8,active,https://a.espncdn.com/i/headshots/nfl/players/full/2976212.png
2,Tommy Doyle,320.0,80.0,24,Edina,MN,USA,Offensive Tackle,tommy-doyle,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4038986.png
2,David Edwards,308.0,78.0,26,Downers Grove,IL,USA,Guard,david-edwards,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3917660.png
2,Reggie Gilliam,244.0,72.0,25,Columbus,OH,USA,Fullback,reggie-gilliam,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4039505.png
2,Damien Harris,213.0,71.0,26,Richmond,KY,USA,Running Back,damien-harris,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3925347.png
2,Deonte Harty,170.0,66.0,25,Baltimore,MD,USA,Wide Receiver,deonte-harty,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/4411193.png
